frequency_hz,signal
2.737553648068669319e+09,9.972189463183728231e-01
2.738054363376251698e+09,9.985339605887549874e-01
2.738555078683834076e+09,1.001724238402507572e+00
2.739055793991416454e+09,9.999492792337345559e-01
2.739556509298998356e+09,1.003852892712592704e+00
2.740057224606580734e+09,1.000221985397624413e+00
2.740557939914163113e+09,9.985752959781472038e-01
2.741058655221745491e+09,9.990831874907997179e-01
2.741559370529327393e+09,9.976525410759577994e-01
2.742060085836909771e+09,9.972758752615970002e-01
2.742560801144492149e+09,1.001088339056137366e+00
2.743061516452074528e+09,1.000986000798987030e+00
2.743562231759656429e+09,1.002408806631806870e+00
2.744062947067238808e+09,9.983063577032837976e-01
2.744563662374821186e+09,1.003189518343224007e+00
2.745064377682403564e+09,9.992321090246184534e-01
2.745565092989985466e+09,1.002951121414400237e+00
2.746065808297567844e+09,9.989319851029793140e-01
2.746566523605150223e+09,9.983216652975985816e-01
2.747067238912732601e+09,1.000287091948593776e+00
2.747567954220314980e+09,1.001845121464404409e+00
2.748068669527896881e+09,1.000098723221220620e+00
2.748569384835479259e+09,9.985999191371989214e-01
2.749070100143061638e+09,9.970825825708252710e-01
2.749570815450643539e+09,9.969557870639190744e-01
2.750071530758225918e+09,1.000757745926831532e+00
2.750572246065808296e+09,1.001725092326795075e+00
2.751072961373390675e+09,9.994100814985712455e-01
2.751573676680973053e+09,9.975826478195688463e-01
2.752074391988554955e+09,1.001469854017727812e+00
2.752575107296137333e+09,9.971550409778473512e-01
2.753075822603719711e+09,9.982813991136052501e-01
2.753576537911302090e+09,1.000940903560980644e+00
2.754077253218883991e+09,9.951895213983331656e-01
2.754577968526466370e+09,1.000453057649541622e+00
2.755078683834048748e+09,9.985071038687908240e-01
2.755579399141631126e+09,9.998785358667661161e-01
2.756080114449213028e+09,9.994976573597080804e-01
2.756580829756795406e+09,1.000041832798100216e+00
2.757081545064377785e+09,1.001013915006520483e+00
2.757582260371960163e+09,9.980961831085787272e-01
2.758082975679542065e+09,1.002441579944439054e+00
2.758583690987124443e+09,1.001037792326570974e+00
2.759084406294706821e+09,1.001258304123429532e+00
2.759585121602289200e+09,1.001884991107434564e+00
2.760085836909871101e+09,1.001113994281867425e+00
2.760586552217453480e+09,1.001209594684484117e+00
2.761087267525035858e+09,9.996542370251890741e-01
2.761587982832618237e+09,9.966300288208534974e-01
2.762088698140200138e+09,9.991928407458580130e-01
2.762589413447782516e+09,9.979019885494955222e-01
2.763090128755364895e+09,9.965722486248043133e-01
2.763590844062947273e+09,9.999098635280586622e-01
2.764091559370529175e+09,9.982294679057154285e-01
2.764592274678111553e+09,9.972788075493893567e-01
2.765092989985693932e+09,9.972223464701995832e-01
2.765593705293276310e+09,9.998130215037189794e-01
2.766094420600858212e+09,9.999590799877245972e-01
2.766595135908440590e+09,1.001849690079333444e+00
2.767095851216022968e+09,9.991372288619796427e-01
2.767596566523605347e+09,1.001205988039104655e+00
2.768097281831187248e+09,1.001880744020164915e+00
2.768597997138769627e+09,1.001326754945434327e+00
2.769098712446352005e+09,9.942419299552475165e-01
2.769599427753934383e+09,1.001371471383390110e+00
2.770100143061516285e+09,9.995298466812538862e-01
2.770600858369098663e+09,9.996289997922956916e-01
2.771101573676681042e+09,9.994484354180781516e-01
2.771602288984263420e+09,9.993889161131399579e-01
2.772103004291845322e+09,9.991716551207077135e-01
2.772603719599427700e+09,9.977153943051459972e-01
2.773104434907010078e+09,9.945201132088709040e-01
2.773605150214592457e+09,9.979840871575705874e-01
2.774105865522174358e+09,9.964597205486203091e-01
2.774606580829756737e+09,1.000077595367365291e+00
2.775107296137339115e+09,9.971723784352174436e-01
2.775608011444921494e+09,9.977293965068737558e-01
2.776108726752503395e+09,9.956524992202756552e-01
2.776609442060085773e+09,9.960927067522706846e-01
2.777110157367668152e+09,9.968216273894205948e-01
2.777610872675250530e+09,9.935678477965009803e-01
2.778111587982832432e+09,9.967906619544599778e-01
2.778612303290414810e+09,9.955770266554234693e-01
2.779113018597997189e+09,9.929577572998274926e-01
2.779613733905579567e+09,9.900022280375784245e-01
2.780114449213161469e+09,9.952113108728969371e-01
2.780615164520743847e+09,9.928793324425693179e-01
2.781115879828326225e+09,9.915908513300768501e-01
2.781616595135908604e+09,9.912257139868674294e-01
2.782117310443490505e+09,9.942339802657148562e-01
2.782618025751072884e+09,9.892503069711405805e-01
2.783118741058655262e+09,9.881189851200894436e-01
2.783619456366237640e+09,9.834357061994556393e-01
2.784120171673819542e+09,9.880902084488214498e-01
2.784620886981401920e+09,9.850342578744798461e-01
2.785121602288984299e+09,9.838979100576930037e-01
2.785622317596566677e+09,9.807593095128517291e-01
2.786123032904148579e+09,9.818979627589481396e-01
2.786623748211730957e+09,9.808106905356349658e-01
2.787124463519313335e+09,9.819020199380674718e-01
2.787625178826895714e+09,9.814769210670676314e-01
2.788125894134477615e+09,9.802719446046231910e-01
2.788626609442059994e+09,9.868746435646961190e-01
2.789127324749642372e+09,9.825606775410532512e-01
2.789628040057224751e+09,9.874849686676848703e-01
2.790128755364806652e+09,9.889578356662707126e-01
2.790629470672389030e+09,9.885300305144866240e-01
2.791130185979971409e+09,9.929368207738380470e-01
2.791630901287553787e+09,9.922607684264127537e-01
2.792131616595135689e+09,9.926095492609100512e-01
2.792632331902718067e+09,9.952321205296421613e-01
2.793133047210300446e+09,9.938514148483874600e-01
2.793633762517882824e+09,9.981118653399019269e-01
2.794134477825464725e+09,9.964957751490324256e-01
2.794635193133047104e+09,9.952434376461195553e-01
2.795135908440629482e+09,9.926521100160801137e-01
2.795636623748211861e+09,9.942305526487532630e-01
2.796137339055793762e+09,9.992883810453155879e-01
2.796638054363376141e+09,9.972507387727589379e-01
2.797138769670958519e+09,9.969959544689325215e-01
2.797639484978540897e+09,1.001035742729893707e+00
2.798140200286123276e+09,9.953509062336328705e-01
2.798640915593705177e+09,9.968944457461814679e-01
2.799141630901287556e+09,9.972549870258892168e-01
2.799642346208869934e+09,9.994939963421898277e-01
2.800143061516451836e+09,9.971038007401350489e-01
2.800643776824034214e+09,9.973033705351874723e-01
2.801144492131616592e+09,9.954102265186530740e-01
2.801645207439198971e+09,1.000161559428903946e+00
2.802145922746781349e+09,1.000390383152545803e+00
2.802646638054363251e+09,9.978942771288814573e-01
2.803147353361945629e+09,9.992369924323880603e-01
2.803648068669528008e+09,9.963832456957500971e-01
2.804148783977110386e+09,9.980785951205852768e-01
2.804649499284692287e+09,1.001827716814800429e+00
2.805150214592274666e+09,9.993891778247185886e-01
2.805650929899857044e+09,1.003781004206170557e+00
2.806151645207439423e+09,9.976254232662929988e-01
2.806652360515021324e+09,1.000397156031955115e+00
2.807153075822603703e+09,9.988798468151054433e-01
2.807653791130186081e+09,1.000434477633146857e+00
2.808154506437768459e+09,9.993183110509695766e-01
2.808655221745350361e+09,9.982383135501687876e-01
2.809155937052932739e+09,9.976516943170533613e-01
2.809656652360515118e+09,1.005543603592790269e+00
2.810157367668097496e+09,9.992799546310350278e-01
2.810658082975679398e+09,9.954230661916668721e-01
2.811158798283261776e+09,9.981796622173247924e-01
2.811659513590844154e+09,1.000852246886729358e+00
2.812160228898426533e+09,9.985143691076473482e-01
2.812660944206008434e+09,1.002252490100059790e+00
2.813161659513590813e+09,1.001552670828232738e+00
2.813662374821173191e+09,9.992586039195695546e-01
2.814163090128755569e+09,9.986334463923693949e-01
2.814663805436337471e+09,9.975821183479471888e-01
2.815164520743919849e+09,9.982049246373337903e-01
2.815665236051502228e+09,9.966710503869271598e-01
2.816165951359084606e+09,1.002037991858403476e+00
2.816666666666666508e+09,1.002821886625114178e+00
2.817167381974248886e+09,9.971389537879641329e-01
2.817668097281831264e+09,9.972981012498061126e-01
2.818168812589413643e+09,9.961342039352619748e-01
2.818669527896995544e+09,9.977528312929780929e-01
2.819170243204577923e+09,9.934767563019260006e-01
2.819670958512160301e+09,9.974133646615854776e-01
2.820171673819742680e+09,1.002299871290381672e+00
2.820672389127324581e+09,9.990224597157563169e-01
2.821173104434906960e+09,1.001430403548758896e+00
2.821673819742489338e+09,9.987504115790952763e-01
2.822174535050071716e+09,1.003256500314194000e+00
2.822675250357653618e+09,1.000140135006076347e+00
2.823175965665235996e+09,9.989839599509787726e-01
2.823676680972818375e+09,1.004858824155576702e+00
2.824177396280400753e+09,9.991108030396361750e-01
2.824678111587982655e+09,9.973228419537573108e-01
2.825178826895565033e+09,1.000174433221950654e+00
2.825679542203147411e+09,9.996980610707524306e-01
2.826180257510729790e+09,1.001913301593098993e+00
2.826680972818311691e+09,9.979421188200883197e-01
2.827181688125894070e+09,1.001399376425985421e+00
2.827682403433476448e+09,1.001499825451745984e+00
2.828183118741058826e+09,9.984631777804348074e-01
2.828683834048640728e+09,1.000129109532361893e+00
2.829184549356223106e+09,9.981450390388275640e-01
2.829685264663805485e+09,1.004501939382916431e+00
2.830185979971387863e+09,9.984056894508963609e-01
2.830686695278969765e+09,9.989113359470551678e-01
2.831187410586552143e+09,9.976892015065733643e-01
2.831688125894134521e+09,9.991319094099786469e-01
2.832188841201716900e+09,9.998155609643779584e-01
2.832689556509298801e+09,1.001365943682640314e+00
2.833190271816881180e+09,9.986123402915921821e-01
2.833690987124463558e+09,9.994646138237049948e-01
2.834191702432045937e+09,9.970059351404005898e-01
2.834692417739627838e+09,9.981867693106198924e-01
2.835193133047210217e+09,1.005355760121148245e+00
2.835693848354792595e+09,1.001929117387070578e+00
2.836194563662374973e+09,9.982861869161755441e-01
2.836695278969956875e+09,9.971765655861488664e-01
2.837195994277539253e+09,9.979024434767693741e-01
2.837696709585121632e+09,9.998124032688948670e-01
2.838197424892704010e+09,9.999273458427944128e-01
2.838698140200285912e+09,9.983712062900201856e-01
2.839198855507868290e+09,9.972887501308026481e-01
2.839699570815450668e+09,1.002708564278772085e+00
2.840200286123033047e+09,1.000769025183712913e+00
2.840701001430615425e+09,9.991183061389421471e-01
2.841201716738197327e+09,9.994278505221845244e-01
2.841702432045779705e+09,9.988117875292485959e-01
2.842203147353362083e+09,9.940003796154944782e-01
2.842703862660943985e+09,1.000105364490189830e+00
2.843204577968526363e+09,9.977344722535251842e-01
2.843705293276108742e+09,9.978716641860112535e-01
2.844206008583691120e+09,9.985979326540329604e-01
2.844706723891273499e+09,1.001344439972871259e+00
2.845207439198855400e+09,9.975401097677484286e-01
2.845708154506437778e+09,9.970139003727287452e-01
2.846208869814020157e+09,1.001163417662481292e+00
2.846709585121602058e+09,1.001393661045125727e+00
2.847210300429184437e+09,9.979682261862466985e-01
2.847711015736766815e+09,1.001012021053259371e+00
2.848211731044349194e+09,9.993050557063277717e-01
2.848712446351931572e+09,1.000491963555564245e+00
2.849213161659513474e+09,9.973684819960163539e-01
2.849713876967095852e+09,1.001557180436841721e+00
2.850214592274678230e+09,1.002298864926623789e+00
2.850715307582260132e+09,1.001167416300056567e+00
2.851216022889842510e+09,1.001010840688033809e+00
2.851716738197424889e+09,9.923504702739048833e-01
2.852217453505007267e+09,1.000417109518093373e+00
2.852718168812589645e+09,9.998457591270709655e-01
2.853218884120171547e+09,9.996033294573615224e-01
2.853719599427753925e+09,9.986370068054661875e-01
2.854220314735336304e+09,1.000009607258381283e+00
2.854721030042918682e+09,1.000723799428245409e+00
2.855221745350500584e+09,9.993726489436085547e-01
2.855722460658082962e+09,9.989742114946572604e-01
2.856223175965665340e+09,1.002360976268799941e+00
2.856723891273247719e+09,9.976913181456645852e-01
2.857224606580829620e+09,1.001962921763565939e+00
2.857725321888411999e+09,1.000256771029306657e+00
2.858226037195994377e+09,9.982950456816979123e-01
2.858726752503576756e+09,9.993241805764864205e-01
2.859227467811158657e+09,9.980646214545783046e-01
2.859728183118741035e+09,1.001255179233500048e+00
2.860228898426323414e+09,1.000601272832665867e+00
2.860729613733905792e+09,9.987922739581998055e-01
2.861230329041487694e+09,9.977018048920927029e-01
2.861731044349070072e+09,1.000510027317456530e+00
2.862231759656652451e+09,1.001821698702495933e+00
2.862732474964234829e+09,9.996795661093629271e-01
2.863233190271816730e+09,1.000744234316711667e+00
2.863733905579399109e+09,9.991557449186991846e-01
2.864234620886981487e+09,1.000043187129662225e+00
2.864735336194563866e+09,9.993257121652519004e-01
2.865236051502145767e+09,1.000496571481432895e+00
2.865736766809728146e+09,9.968891314635714984e-01
2.866237482117310524e+09,1.001197227051965788e+00
2.866738197424892902e+09,9.994491309007743629e-01
2.867238912732474804e+09,1.000626342306574657e+00
2.867739628040057182e+09,9.992286167649273576e-01
2.868240343347639561e+09,1.000550050866947815e+00
2.868741058655221939e+09,9.977642750326978227e-01
2.869241773962803841e+09,1.002287762354055367e+00
2.869742489270386219e+09,9.965023980146087146e-01
2.870243204577968597e+09,9.978310240175474188e-01
2.870743919885550976e+09,1.000380829050016906e+00
2.871244635193132877e+09,1.002835157548409128e+00
2.871745350500715256e+09,1.000465682435156101e+00
2.872246065808297634e+09,9.994135505304474476e-01
2.872746781115880013e+09,9.970591054759134764e-01
2.873247496423461914e+09,9.995266314091565407e-01
2.873748211731044292e+09,9.998693102743108074e-01
2.874248927038626671e+09,1.003290061642891695e+00
2.874749642346209049e+09,1.001153015249371503e+00
2.875250357653790951e+09,9.968503997949343942e-01
2.875751072961373329e+09,1.003961944630842984e+00
2.876251788268955708e+09,9.991181475996110395e-01
2.876752503576538086e+09,9.981490086891816604e-01
2.877253218884119987e+09,1.002857313876571288e+00
2.877753934191702366e+09,9.998078770043244967e-01
2.878254649499284744e+09,9.991722825747929582e-01
2.878755364806867123e+09,1.000344338077754580e+00
2.879256080114449024e+09,1.001596200830131567e+00
2.879756795422031403e+09,1.001892731439893325e+00
2.880257510729613781e+09,9.971552683166879927e-01
2.880758226037196159e+09,1.003902228182080858e+00
2.881258941344778061e+09,1.001798558278218954e+00
2.881759656652360439e+09,9.991459802536031276e-01
2.882260371959942818e+09,9.982665870247159345e-01
2.882761087267525196e+09,9.979653829318204661e-01
2.883261802575107098e+09,1.000149642070360834e+00
2.883762517882689476e+09,9.986063059453448298e-01
2.884263233190271854e+09,9.983720194575084195e-01
2.884763948497854233e+09,1.001523680125512517e+00
2.885264663805436134e+09,1.000629684538778097e+00
2.885765379113018513e+09,9.991107599891052571e-01
2.886266094420600891e+09,1.001367723959655454e+00
2.886766809728183270e+09,1.002633285349816106e+00
2.887267525035765171e+09,9.977088073065115692e-01
2.887768240343347549e+09,9.986904599117403247e-01
2.888268955650929928e+09,1.001781502403385149e+00
2.888769670958512306e+09,1.001333325543967367e+00
2.889270386266094208e+09,1.000347997782532250e+00
2.889771101573676586e+09,1.002218567359882462e+00
2.890271816881258965e+09,9.977163949563797596e-01
2.890772532188841343e+09,9.969336039143195105e-01
2.891273247496423721e+09,9.981578929588110771e-01
2.891773962804005623e+09,1.000134990029722504e+00
2.892274678111588001e+09,9.982966876380509058e-01
2.892775393419170380e+09,9.989133484790561068e-01
2.893276108726752281e+09,9.979366714385982107e-01
2.893776824034334660e+09,9.986446625363033514e-01
2.894277539341917038e+09,9.978747567359046444e-01
2.894778254649499416e+09,1.000618034020499092e+00
2.895278969957081795e+09,1.001471613102596026e+00
2.895779685264663696e+09,9.989196261497785834e-01
2.896280400572246075e+09,9.994646299303137083e-01
2.896781115879828453e+09,9.987156949654407700e-01
2.897281831187410355e+09,1.000938814832071477e+00
2.897782546494992733e+09,1.000052929008765412e+00
2.898283261802575111e+09,1.003061585972937708e+00
2.898783977110157490e+09,9.976807324485016393e-01
2.899284692417739868e+09,1.000595033300180958e+00
2.899785407725321770e+09,1.000756308553441665e+00
2.900286123032904148e+09,9.991456866941975656e-01
2.900786838340486526e+09,1.001031818470943247e+00
2.901287553648068428e+09,9.969858279704737480e-01
2.901788268955650806e+09,1.004098540129571449e+00
2.902288984263233185e+09,9.971748414788904613e-01
2.902789699570815563e+09,1.001696474401193582e+00
2.903290414878397942e+09,9.976124747364688572e-01
2.903791130185979843e+09,1.002154274509280629e+00
2.904291845493562222e+09,9.990806741715452244e-01
2.904792560801144600e+09,1.000164704390795301e+00
2.905293276108726978e+09,9.999521020142894123e-01
2.905793991416308880e+09,1.002044355038673062e+00
2.906294706723891258e+09,9.991971773921957123e-01
2.906795422031473637e+09,9.939031999170863108e-01
2.907296137339056015e+09,9.983146507176100526e-01
2.907796852646637917e+09,1.000199295937038935e+00
2.908297567954220295e+09,9.989479358111755802e-01
2.908798283261802673e+09,1.001365408469487184e+00
2.909298998569385052e+09,1.001853204359205440e+00
2.909799713876966953e+09,9.995236745846980408e-01
2.910300429184549332e+09,9.968364743987196963e-01
2.910801144492131710e+09,1.002580516153179557e+00
2.911301859799714088e+09,1.001974581746723825e+00
2.911802575107295990e+09,9.992062433303162683e-01
2.912303290414878368e+09,1.004017208927270755e+00
2.912804005722460747e+09,9.990987365751339278e-01
2.913304721030043125e+09,9.975179451525463259e-01
2.913805436337625027e+09,9.994759689135245262e-01
2.914306151645207405e+09,1.001938740399562100e+00
2.914806866952789783e+09,9.979033406739457046e-01
2.915307582260372162e+09,1.003675680565534245e+00
2.915808297567954063e+09,9.979749593628687299e-01
2.916309012875536442e+09,1.001671425895506395e+00
2.916809728183118820e+09,1.000845852766297561e+00
2.917310443490701199e+09,9.994429259176252911e-01
2.917811158798283100e+09,1.001905970780683663e+00
2.918311874105865479e+09,9.967389113629734343e-01
2.918812589413447857e+09,1.002446981595078945e+00
2.919313304721030235e+09,9.995975086294719425e-01
2.919814020028612137e+09,9.986327379672016447e-01
2.920314735336194515e+09,1.001208363794199085e+00
2.920815450643776894e+09,1.001821877453501930e+00
2.921316165951359272e+09,1.001233370150567126e+00
2.921816881258941174e+09,1.003684101033235576e+00
2.922317596566523552e+09,1.001837450314249311e+00
2.922818311874105930e+09,1.002233481469184895e+00
2.923319027181688309e+09,9.985767482454356303e-01
2.923819742489270210e+09,9.998590398741342700e-01
2.924320457796852589e+09,1.000760949978691361e+00
2.924821173104434967e+09,9.995879344988848336e-01
2.925321888412017345e+09,1.000214527729443637e+00
2.925822603719599247e+09,1.000450668490540318e+00
2.926323319027181625e+09,1.001273467638846171e+00
2.926824034334764004e+09,9.993675538670638847e-01
2.927324749642346382e+09,9.988561836016358608e-01
2.927825464949928284e+09,9.978833224147842795e-01
2.928326180257510662e+09,9.977397594994239505e-01
2.928826895565093040e+09,1.001850427350198691e+00
2.929327610872675419e+09,9.993177379489216472e-01
2.929828326180257320e+09,1.001040798640314256e+00
2.930329041487839699e+09,9.968510934909072807e-01
2.930829756795422077e+09,9.955470788536652238e-01
2.931330472103004456e+09,9.973013989696399850e-01
2.931831187410586357e+09,1.001667452475026643e+00
2.932331902718168736e+09,1.001483286431180009e+00
2.932832618025751114e+09,9.999823080176475365e-01
2.933333333333333492e+09,9.976829895350617372e-01
2.933834048640915394e+09,9.989926378431392973e-01
2.934334763948497772e+09,9.986232424792395035e-01
2.934835479256080151e+09,9.984907120655608370e-01
2.935336194563662529e+09,9.941275290356633709e-01
2.935836909871244431e+09,9.973796476117628984e-01
2.936337625178826809e+09,9.986676056694309134e-01
2.936838340486409187e+09,1.002029119831865156e+00
2.937339055793991566e+09,9.992618854100931980e-01
2.937839771101573467e+09,1.001681523456196876e+00
2.938340486409155846e+09,9.980263439240546486e-01
2.938841201716738224e+09,9.982364263994288889e-01
2.939341917024320602e+09,9.908643199573388127e-01
2.939842632331902504e+09,9.995036681258637756e-01
2.940343347639484882e+09,9.995765685688879909e-01
2.940844062947067261e+09,1.001905680349119976e+00
2.941344778254649639e+09,9.972895485077334365e-01
2.941845493562232018e+09,9.983239048126868465e-01
2.942346208869813919e+09,9.965829184635276450e-01
2.942846924177396297e+09,9.954836169217720077e-01
2.943347639484978676e+09,9.962334056841116725e-01
2.943848354792560577e+09,9.967715566286604600e-01
2.944349070100142956e+09,9.999493710443126959e-01
2.944849785407725334e+09,9.969907849966389568e-01
2.945350500715307713e+09,9.951191953552545044e-01
2.945851216022890091e+09,9.966582075755934245e-01
2.946351931330471992e+09,9.964370667924103975e-01
2.946852646638054371e+09,9.942219709005292172e-01
2.947353361945636749e+09,9.973686502591784242e-01
2.947854077253218651e+09,9.907369526083797950e-01
2.948354792560801029e+09,9.934284244847561007e-01
2.948855507868383408e+09,9.944228973075629474e-01
2.949356223175965786e+09,9.895323920344296642e-01
2.949856938483548164e+09,9.919115313448989557e-01
2.950357653791130066e+09,9.926047115929156339e-01
2.950858369098712444e+09,9.896006944582608211e-01
2.951359084406294823e+09,9.838414373341207719e-01
2.951859799713877201e+09,9.841828678782882367e-01
2.952360515021459103e+09,9.864833656644036441e-01
2.952861230329041481e+09,9.830762007649940237e-01
2.953361945636623859e+09,9.811631755888899908e-01
2.953862660944206238e+09,9.811876482583422598e-01
2.954363376251788139e+09,9.814308204045746331e-01
2.954864091559370518e+09,9.788723763914907172e-01
2.955364806866952896e+09,9.805729944274022003e-01
2.955865522174535275e+09,9.827275514109856669e-01
2.956366237482117176e+09,9.828889797473180368e-01
2.956866952789699554e+09,9.853302231925827881e-01
2.957367668097281933e+09,9.897776408415098759e-01
2.957868383404864311e+09,9.867215143071227379e-01
2.958369098712446213e+09,9.938402610214873700e-01
2.958869814020028591e+09,9.949199466424549776e-01
2.959370529327610970e+09,9.887585644490392012e-01
2.959871244635193348e+09,9.927904588890780202e-01
2.960371959942775249e+09,9.945237559246102865e-01
2.960872675250357628e+09,9.929774711462484582e-01
2.961373390557940006e+09,9.935879123916521172e-01
2.961874105865522385e+09,9.950894924958727517e-01
2.962374821173104286e+09,9.974718858773822250e-01
2.962875536480686665e+09,9.953448681805037168e-01
2.963376251788269043e+09,1.000348034417053000e+00
2.963876967095851421e+09,9.975617815384877352e-01
2.964377682403433323e+09,9.970297854796525971e-01
2.964878397711015701e+09,1.000357365652950525e+00
2.965379113018598080e+09,9.989102293512892583e-01
2.965879828326180458e+09,9.985734195996440743e-01
2.966380543633762360e+09,9.973310082026323187e-01
2.966881258941344738e+09,1.001763422676547499e+00
2.967381974248927116e+09,9.998870591486936910e-01
2.967882689556509495e+09,9.979721318918667317e-01
2.968383404864091396e+09,9.953291820880062479e-01
2.968884120171673775e+09,9.993244931799388775e-01
2.969384835479256153e+09,9.963776185114155970e-01
2.969885550786838531e+09,9.953121764077073053e-01
2.970386266094420433e+09,9.982580289415028396e-01
2.970886981402002811e+09,9.994455554269449093e-01
2.971387696709585190e+09,1.001508505171211150e+00
2.971888412017167568e+09,9.995645752871283873e-01
2.972389127324749470e+09,1.000663522405770722e+00
2.972889842632331848e+09,9.966476374677247785e-01
2.973390557939914227e+09,9.990987406789479941e-01
2.973891273247496605e+09,9.994334438963512479e-01
2.974391988555078506e+09,1.000947837773183302e+00
2.974892703862660885e+09,9.994911600137574847e-01
2.975393419170243263e+09,1.000900491697626515e+00
2.975894134477825642e+09,9.983150401195505230e-01
2.976394849785407543e+09,1.000068449062768927e+00
2.976895565092989922e+09,1.000209535437519559e+00
2.977396280400572300e+09,9.969058274202643455e-01
2.977896995708154678e+09,9.997804804414266444e-01
2.978397711015736580e+09,9.988112726019046095e-01
2.978898426323318958e+09,9.956650967997567880e-01
2.979399141630901337e+09,1.001410141717514746e+00
2.979899856938483715e+09,9.987885380970958904e-01
2.980400572246065617e+09,9.978253564692873834e-01
2.980901287553647995e+09,9.987924134789796238e-01
2.981402002861230373e+09,9.998394558380556685e-01
2.981902718168812752e+09,1.002594043064361840e+00
2.982403433476394653e+09,9.992607445458860926e-01
2.982904148783977032e+09,1.000551083396804763e+00
2.983404864091559410e+09,1.002366403482394253e+00
2.983905579399141788e+09,1.000698685365654983e+00
2.984406294706724167e+09,1.001780456280233711e+00
2.984907010014306068e+09,9.987014936320782743e-01
2.985407725321888447e+09,1.001207273835177380e+00
2.985908440629470825e+09,9.995593935424685883e-01
2.986409155937052727e+09,1.001833876578463789e+00
2.986909871244635105e+09,9.976872091977301293e-01
2.987410586552217484e+09,9.981440782232593456e-01
2.987911301859799862e+09,1.002249137053120354e+00
2.988412017167382240e+09,9.993276228934614425e-01
2.988912732474964142e+09,9.990096436549903425e-01
2.989413447782546520e+09,9.998901600915029997e-01
2.989914163090128899e+09,9.983631645572671465e-01
2.990414878397710800e+09,1.002412896871655246e+00
2.990915593705293179e+09,9.972572693689916168e-01
